timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65912.198689875, -0.1190338134765625, -0.8820648193359375, 0.3675689697265625, 0.13247308135032654, 0.4419611692428589, -0.041487786918878555
65912.208760875, -0.112548828125, -0.8731536865234375, 0.3623809814453125, 0.13726598024368286, 0.45334646105766296, -0.027689684182405472
65912.218830875, -0.1086273193359375, -0.870941162109375, 0.366302490234375, 0.13508325815200806, 0.4652382731437683, -0.016174709424376488
65912.228901875, -0.1151123046875, -0.869873046875, 0.3799591064453125, 0.12081483751535416, 0.4669831693172455, -0.008650213479995728
65912.238972875, -0.1228485107421875, -0.874725341796875, 0.393646240234375, 0.08811388164758682, 0.4614261984825134, -0.0023409186396747828
65912.249042875, -0.130279541015625, -0.8774566650390625, 0.4019927978515625, 0.04596829041838646, 0.4488094747066498, -0.007047523278743029
65912.259113875, -0.1378021240234375, -0.8793792724609375, 0.4058990478515625, 0.008230765350162983, 0.43283823132514954, -0.010385262779891491
65912.26918487501, -0.1468353271484375, -0.8823699951171875, 0.404998779296875, -0.017244501039385796, 0.4071509838104248, -0.013521401211619377
65912.279254875, -0.158721923828125, -0.882659912109375, 0.3988800048828125, -0.030059365555644035, 0.37232616543769836, -0.01673317328095436
65912.289325875, -0.1739349365234375, -0.8819427490234375, 0.3905029296875, -0.03407328203320503, 0.33292868733406067, -0.027878236025571823
65912.29939687501, -0.190032958984375, -0.884674072265625, 0.3881683349609375, -0.028960011899471283, 0.2946268320083618, -0.03604988008737564
65912.309466875, -0.197265625, -0.8922271728515625, 0.3882904052734375, -0.01344470214098692, 0.2672908306121826, -0.04013090953230858
65912.31953787501, -0.201873779296875, -0.90118408203125, 0.39202880859375, 0.004677043296396732, 0.24474743008613586, -0.04603859782218933
65912.329607875, -0.2069549560546875, -0.9104461669921875, 0.39849853515625, 0.012162656523287296, 0.22839508950710297, -0.05091085284948349
65912.33967887501, -0.208892822265625, -0.9138336181640625, 0.40673828125, 0.015511048957705498, 0.21078281104564667, -0.05925773084163666
65912.34974987501, -0.208160400390625, -0.9137115478515625, 0.414520263671875, 0.013381052762269974, 0.19731999933719635, -0.06465542316436768
65912.359819875, -0.202484130859375, -0.915771484375, 0.4214630126953125, 0.007754325866699219, 0.17517395317554474, -0.07120121270418167
65912.36989087501, -0.1922149658203125, -0.9150848388671875, 0.421112060546875, 0.0037494644057005644, 0.15865036845207214, -0.07575841248035431
65912.379961875, -0.19012451171875, -0.918731689453125, 0.42059326171875, 0.0005150553770363331, 0.13534903526306152, -0.08558547496795654
65912.39003187501, -0.1966400146484375, -0.92333984375, 0.4193572998046875, 0.0022280006669461727, 0.10999947041273117, -0.09927678853273392
65912.400102875, -0.202880859375, -0.922119140625, 0.414581298828125, -0.0009243832319043577, 0.08180192112922668, -0.11175049841403961
65912.410173875, -0.1974029541015625, -0.9174957275390625, 0.4058074951171875, 0.0049279131926596165, 0.04850814864039421, -0.1183873638510704
65912.420243875, -0.1885986328125, -0.9128265380859375, 0.3876495361328125, 0.011976501904428005, 0.013883325271308422, -0.12452195584774017
65912.430314875, -0.1801300048828125, -0.9033355712890625, 0.368560791015625, 0.033432792872190475, -0.013014601543545723, -0.12088461220264435
65912.440385875, -0.1708526611328125, -0.89654541015625, 0.35980224609375, 0.06406153738498688, -0.02907000109553337, -0.10826149582862854
65912.450455875, -0.16876220703125, -0.8994598388671875, 0.3624420166015625, 0.08839724212884903, -0.052915945649147034, -0.09211021661758423
65912.46052629167, -0.1755523681640625, -0.9042205810546875, 0.368804931640625, 0.10221478343009949, -0.07798933982849121, -0.07911745458841324
65912.47059729167, -0.17926025390625, -0.9058685302734375, 0.3768157958984375, 0.10809584707021713, -0.09936147183179855, -0.06596383452415466
65912.48066729167, -0.18048095703125, -0.9072113037109375, 0.376495361328125, 0.12080631405115128, -0.1156589537858963, -0.04493791237473488
65912.49073829167, -0.17974853515625, -0.9057159423828125, 0.376708984375, 0.1413576602935791, -0.12147583067417145, -0.025903236120939255
65912.50080929167, -0.186187744140625, -0.903411865234375, 0.379608154296875, 0.15807591378688812, -0.11194358021020889, -0.010930944234132767
65912.51087929167, -0.1927032470703125, -0.9052581787109375, 0.3822174072265625, 0.18096178770065308, -0.1061815619468689, 0.0052472264505922794
65912.52095029167, -0.192108154296875, -0.9003143310546875, 0.382110595703125, 0.20230916142463684, -0.1074894443154335, 0.020494090393185616
65912.53102129167, -0.19073486328125, -0.8975830078125, 0.3900909423828125, 0.21403345465660095, -0.11568798124790192, 0.034089259803295135
65912.54109129167, -0.1879119873046875, -0.8988189697265625, 0.4026031494140625, 0.21471309661865234, -0.12311819940805435, 0.05295855551958084
65912.55116229167, -0.1841278076171875, -0.8972015380859375, 0.41143798828125, 0.21283717453479767, -0.15136314928531647, 0.06769009679555893
65912.56123329166, -0.1833038330078125, -0.896453857421875, 0.4177093505859375, 0.20344926416873932, -0.182290181517601, 0.08271139115095139
65912.57130329167, -0.179718017578125, -0.89501953125, 0.4231109619140625, 0.18567585945129395, -0.21129865944385529, 0.09616488218307495
65912.58137429167, -0.1728973388671875, -0.8936920166015625, 0.42413330078125, 0.17276698350906372, -0.23012134432792664, 0.11020799726247787
65912.59144529168, -0.1684112548828125, -0.89593505859375, 0.4338226318359375, 0.1586572825908661, -0.24669286608695984, 0.12792573869228363
65912.60151529167, -0.16094970703125, -0.8970489501953125, 0.444061279296875, 0.14313772320747375, -0.24940024316310883, 0.1351383775472641
65912.61158629168, -0.1611328125, -0.8976593017578125, 0.451263427734375, 0.12887755036354065, -0.24857652187347412, 0.13989877700805664
65912.62165729167, -0.16851806640625, -0.8977203369140625, 0.45526123046875, 0.11879909038543701, -0.24817518889904022, 0.141215980052948
65912.63172729166, -0.168548583984375, -0.899932861328125, 0.4521636962890625, 0.11338648200035095, -0.24609419703483582, 0.14709411561489105
65912.64179829168, -0.1687164306640625, -0.89935302734375, 0.4462432861328125, 0.12402660399675369, -0.2429782897233963, 0.14741848409175873
65912.65186929167, -0.169097900390625, -0.8924713134765625, 0.4427337646484375, 0.13726811110973358, -0.2441636621952057, 0.1551741361618042
65912.66193929168, -0.1707305908203125, -0.888916015625, 0.4384918212890625, 0.15285825729370117, -0.2488260567188263, 0.15812252461910248
65912.67201029167, -0.1798095703125, -0.8884429931640625, 0.440093994140625, 0.15763330459594727, -0.26529398560523987, 0.1656174659729004
65912.68208129167, -0.1905364990234375, -0.883941650390625, 0.446929931640625, 0.1520473212003708, -0.2914084196090698, 0.1704186052083969
65912.69215129167, -0.197540283203125, -0.8788909912109375, 0.4514312744140625, 0.13020487129688263, -0.31861019134521484, 0.17641498148441315
65912.70222229167, -0.200958251953125, -0.8694000244140625, 0.455078125, 0.09919236600399017, -0.35060063004493713, 0.19027459621429443
65912.71229329167, -0.1996307373046875, -0.863189697265625, 0.4564208984375, 0.056717339903116226, -0.37762451171875, 0.21731127798557281
65912.72236329167, -0.194122314453125, -0.8619384765625, 0.457000732421875, 0.0043923514895141125, -0.39736121892929077, 0.24666623771190643
65912.73243429167, -0.1906890869140625, -0.85809326171875, 0.4541473388671875, -0.034498587250709534, -0.4197799563407898, 0.2777964472770691
65912.74250529167, -0.1891326904296875, -0.86181640625, 0.4493255615234375, -0.05023813620209694, -0.44840893149375916, 0.30571144819259644
65912.75257529167, -0.182220458984375, -0.8651123046875, 0.443603515625, -0.058883823454380035, -0.4884597063064575, 0.3377721905708313
65912.76264629167, -0.174224853515625, -0.8683013916015625, 0.435028076171875, -0.054175086319446564, -0.5378538966178894, 0.36283358931541443
65912.77271729166, -0.175567626953125, -0.87139892578125, 0.427825927734375, -0.05780444294214249, -0.596323549747467, 0.3839082419872284
65912.78278829168, -0.1877288818359375, -0.8757476806640625, 0.4209747314453125, -0.05381130054593086, -0.656013011932373, 0.4028494656085968
65912.79285829166, -0.20550537109375, -0.884246826171875, 0.418060302734375, -0.05059579759836197, -0.6994904279708862, 0.41961219906806946
65912.80292929168, -0.220611572265625, -0.8839111328125, 0.4210662841796875, -0.04520502686500549, -0.7310124039649963, 0.4390042722225189
65912.81299929167, -0.22967529296875, -0.883575439453125, 0.4235687255859375, -0.048590440303087234, -0.7519930601119995, 0.45083028078079224
65912.82307029168, -0.232696533203125, -0.891357421875, 0.42791748046875, -0.05873069167137146, -0.7724592089653015, 0.459065318107605
65912.83314129167, -0.2312164306640625, -0.89739990234375, 0.437408447265625, -0.07637812942266464, -0.7879513502120972, 0.47058215737342834
65912.84321229167, -0.2281951904296875, -0.9050140380859375, 0.4426116943359375, -0.09484288841485977, -0.8079266548156738, 0.48871296644210815
65912.85328229167, -0.223480224609375, -0.9133148193359375, 0.4400787353515625, -0.11198432743549347, -0.8369425535202026, 0.5092107653617859
65912.86335329167, -0.2114105224609375, -0.9205169677734375, 0.4289398193359375, -0.12176824361085892, -0.8876534104347229, 0.5363819599151611
65912.87342429167, -0.1992645263671875, -0.9269256591796875, 0.410614013671875, -0.10736533999443054, -0.9458317756652832, 0.5796779990196228
65912.88349429167, -0.191131591796875, -0.9224853515625, 0.3944091796875, -0.06823071837425232, -0.987168550491333, 0.628602921962738
65912.89356529167, -0.185882568359375, -0.914703369140625, 0.38726806640625, -0.025736255571246147, -1.0233103036880493, 0.684421718120575
65912.90363629167, -0.1761322021484375, -0.9109344482421875, 0.3959503173828125, -0.0046091326512396336, -1.0502727031707764, 0.7390612959861755
65912.91370629167, -0.16973876953125, -0.908233642578125, 0.4109039306640625, -0.004808870144188404, -1.0752102136611938, 0.7785913944244385
65912.92377729167, -0.1683502197265625, -0.9097900390625, 0.4277801513671875, -0.016469255089759827, -1.1171412467956543, 0.8050464391708374
65912.93384829166, -0.177398681640625, -0.915435791015625, 0.441497802734375, -0.03459499403834343, -1.1781641244888306, 0.814044713973999
