first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
121,289,3630,8670,5040,0.2585885763764496
2,173,60,5190,5130,0.25874891529699245
189,298,5670,8940,3270,0.2594371283812626
7,322,210,9660,9450,0.2594963355654145
20,188,600,5640,5040,0.25998160656147007
19,187,570,5610,5040,0.2604066340586403
91,101,2730,3030,300,0.26116447476095617
147,156,4410,4680,270,0.2611662004717225
146,311,4380,9330,4950,0.2612029430445348
19,159,570,4770,4200,0.2618268061623681
1,170,30,5100,5070,0.26211087702423125
89,259,2670,7770,5100,0.26227816604869686
165,317,4950,9510,4560,0.26234136616932685
3,324,90,9720,9630,0.2625030446832969
20,299,600,8970,8370,0.26303410689807355
164,317,4920,9510,4590,0.26308936018850054
163,184,4890,5520,630,0.2632878306708588
37,204,1110,6120,5010,0.26368917030153394
4,324,120,9720,9600,0.2637024376347197
157,310,4710,9300,4590,0.2637024774778565
54,220,1620,6600,4980,0.26378748460275353
146,301,4380,9030,4650,0.2638185174012174
152,305,4560,9150,4590,0.26382510635885736
23,190,690,5700,5010,0.2638725297116984
13,163,390,4890,4500,0.264242982817633
144,298,4320,8940,4620,0.26424365925086396
98,254,2940,7620,4680,0.2646760254423703
125,284,3750,8520,4770,0.26473868124271743
100,256,3000,7680,4680,0.26479511684416024
92,100,2760,3000,240,0.2650469849787529
105,244,3150,7320,4170,0.26586482365561975
277,288,8310,8640,330,0.26599693045393547
19,312,570,9360,8790,0.26632396834642547
142,191,4260,5730,1470,0.2665514821011361
277,289,8310,8670,360,0.2675871241425939
102,259,3060,7770,4710,0.2679916543675956
81,241,2430,7230,4800,0.2685570420320724
153,303,4590,9090,4500,0.26943129177575403
55,221,1650,6630,4980,0.26950301418269984
107,215,3210,6450,3240,0.26951032762435273
135,275,4050,8250,4200,0.2700823691019631
3,175,90,5250,5160,0.2704276216179449
13,316,390,9480,9090,0.27045865262721425
45,212,1350,6360,5010,0.2716535813297745
152,304,4560,9120,4560,0.2724808775997355
52,83,1560,2490,930,0.27262514490298073
161,315,4830,9450,4620,0.27303102505454435
248,258,7440,7740,300,0.2740025173604272
36,203,1080,6090,5010,0.27447318941299437
11,181,330,5430,5100,0.2745865735003276
5,177,150,5310,5160,0.2746552511079162
16,162,480,4860,4380,0.2752626268525989
138,272,4140,8160,4020,0.27531994694911294
12,317,360,9510,9150,0.2754293674808785
7,178,210,5340,5130,0.27557787423435537
113,269,3390,8070,4680,0.2773181534334256
18,314,540,9420,8880,0.27735671892663866
21,299,630,8970,8340,0.2778679162684909
29,196,870,5880,5010,0.2778847357017908
170,322,5100,9660,4560,0.2783625321816611
15,163,450,4890,4440,0.2787440344406188
3,177,90,5310,5220,0.2788583708910917
167,319,5010,9570,4560,0.2789444576357079
145,299,4350,8970,4620,0.27956162769875414
101,250,3030,7500,4470,0.27971857057803345
14,163,420,4890,4470,0.27976979893380766
11,318,330,9540,9210,0.27999775657679926
246,261,7380,7830,450,0.2802842589264156
30,198,900,5940,5040,0.28067559024457384
160,313,4800,9390,4590,0.2808372058437338
164,316,4920,9480,4560,0.28162342488694914
50,217,1500,6510,5010,0.2817385273610634
3,323,90,9690,9600,0.28186116775698794
166,318,4980,9540,4560,0.28189132829172664
221,241,6630,7230,600,0.2819305331231832
6,174,180,5220,5040,0.28196688880156195
80,240,2400,7200,4800,0.28238698346494046
150,307,4500,9210,4710,0.282595801152177
89,248,2670,7440,4770,0.2826089855961181
3,172,90,5160,5070,0.28277100041597203
148,303,4440,9090,4650,0.28366425879383544
99,254,2970,7620,4650,0.2839651276469748
82,242,2460,7260,4800,0.2855278151443782
151,304,4530,9120,4590,0.28577280897207163
83,243,2490,7290,4800,0.2861356910367781
53,219,1590,6570,4980,0.2862478478812716
21,190,630,5700,5070,0.28627495924833146
103,247,3090,7410,4320,0.28701340393759517
117,136,3510,4080,570,0.28747287743049205
42,208,1260,6240,4980,0.28806472289193713
85,244,2550,7320,4770,0.28856669684397146
56,222,1680,6660,4980,0.28883869736833145
47,213,1410,6390,4980,0.2888522168867964
153,307,4590,9210,4620,0.2890211774188203
16,185,480,5550,5070,0.2890995303405086
93,251,2790,7530,4740,0.29099776373816744
124,280,3720,8400,4680,0.29124350746700206
6,175,180,5250,5070,0.2915555310156007
101,256,3030,7680,4650,0.29191014575524143
154,303,4620,9090,4470,0.29272401208276394
46,213,1380,6390,5010,0.2928943934409755
116,294,3480,8820,5340,0.2928979530019489
134,290,4020,8700,4680,0.29373518440417334
48,215,1440,6450,5010,0.2942670785219611
301,309,9030,9270,240,0.2953250201103432
145,300,4350,9000,4650,0.2957102296671234
89,247,2670,7410,4740,0.29619286705887454
140,295,4200,8850,4650,0.29652495310969107
115,294,3450,8820,5370,0.29664672527299096
4,173,120,5190,5070,0.297474844031713
178,324,5340,9720,4380,0.29772635944305326
2,174,60,5220,5160,0.29793195249763926
0,323,0,9690,9690,0.29797721877274663
146,310,4380,9300,4920,0.29800973615291687
5,324,150,9720,9570,0.2989731032839845
92,250,2760,7500,4740,0.29901336091821346
178,325,5340,9744,4404,0.29970541955212526
120,289,3600,8670,5070,0.2998714711213963
119,134,3570,4020,450,0.3000064802797296
92,255,2760,7650,4890,0.300204506685608
124,282,3720,8460,4740,0.30062648163924355
82,220,2460,6600,4140,0.3007611666547336
185,316,5550,9480,3930,0.30095686437911073
56,80,1680,2400,720,0.30107683337372365
152,307,4560,9210,4650,0.30109254603128227
158,300,4740,9000,4260,0.30116654653777214
126,286,3780,8580,4800,0.30292011477488096
149,304,4470,9120,4650,0.30296208632804783
244,261,7320,7830,510,0.30358513842649626
86,261,2580,7830,5250,0.30408373812906686
100,255,3000,7650,4650,0.30408987952265404
112,268,3360,8040,4680,0.30446354313059765
162,316,4860,9480,4620,0.304601630185479
143,297,4290,8910,4620,0.30544453517338543
138,293,4140,8790,4650,0.30560954144253927
22,297,660,8910,8250,0.30581060419280187
176,323,5280,9690,4410,0.30671594244022504
125,285,3750,8550,4800,0.30673080392498053
49,216,1470,6480,5010,0.30679821466561435
100,250,3000,7500,4500,0.3072728928716739
5,173,150,5190,5040,0.3073728792725532
55,240,1650,7200,5550,0.3091535597087545
46,212,1380,6360,4980,0.3096968731063544
90,248,2700,7440,4740,0.3096997629068679
23,143,690,4290,3600,0.3098359787382427
53,242,1590,7260,5670,0.30985232424642695
124,281,3720,8430,4710,0.31003074440671696
139,294,4170,8820,4650,0.31006429513176514
2,323,60,9690,9630,0.31017202179446507
104,260,3120,7800,4680,0.3102184284965237
84,219,2520,6570,4050,0.31031779759542305
174,325,5220,9744,4524,0.31050084957056906
12,318,360,9540,9180,0.3111993190186051
51,85,1530,2550,1020,0.31159466158017507
216,263,6480,7890,1410,0.31194235104325946
148,310,4440,9300,4860,0.3121168399354972
110,267,3300,8010,4710,0.3122121756434399
111,268,3330,8040,4710,0.31235328807685026
51,218,1530,6540,5010,0.31265157962151285
99,255,2970,7650,4680,0.31283642559038183
31,199,930,5970,5040,0.31291002089944336
136,291,4080,8730,4650,0.31383564710356504
50,216,1500,6480,4980,0.3139697538108727
156,302,4680,9060,4380,0.31415186170074005
45,211,1350,6330,4980,0.31415833917802616
48,107,1440,3210,1770,0.31434713151424165
137,292,4110,8760,4650,0.3144663867768613
177,322,5310,9660,4350,0.3145917987805169
49,215,1470,6450,4980,0.31485633101676214
1,323,30,9690,9660,0.3151870046702987
79,239,2370,7170,4800,0.31594631155119846
